,text,lang,edit_history_tweet_ids,id,geo.place_id
0,"#Broncos beat Jaguars 21-17 in London. Justin Simmons' INT changed the game, and K'Waun Williams iced it with his pick. Greg Dulcich continues to break out. Russell Wilson with 35th career game-winning drive, highlighted by 47yd catch by KJ Hamler",en,['1586757423410339845'],1586757423410339845,
1,Russell Wilson and all of the Broncos gonna be doing boxcerise the entire 8 hr flight back 😅,en,['1586757417756418051'],1586757417756418051,
2,"Happy for Denver and Russell Wilson, they deserved that win.",en,['1586757415726448641'],1586757415726448641,9d63050d3d33d32f
3,"i feel so happy for Russell Wilson right now, for about 4 weeks everyone has been maliciously attacking him for his personality for no reason, hopefully he keeps this up",en,['1586757411125215234'],1586757411125215234,
4,Oops I definitely picked Jacksonville to win that game. I clearly underestimated the power of Russell Wilson's plane exercises. 😂 #BroncosCountry,en,['1586757398164905984'],1586757398164905984,
5,Russell Wilson apareceu nos momentos chaves mas continua bem irregular. Passando a bola está horrível.,pt,['1586757375716990979'],1586757375716990979,
6,"#Russell Wilson

2022-10-28 23:27:12

Ravens' Justin Tucker throws shade at Russell Wilson for plane workout

https://t.co/d2mPEMaD3U

https://t.co/12jDCvwtwZ",en,['1586757368997711872'],1586757368997711872,
7,Russell Wilson after Beating the 2-5 Jags. https://t.co/93aPSr9b8o,en,['1586757367546478593'],1586757367546478593,
8,8 AM Russell Wilson&gt;Prime time Russell Wilson,en,['1586757356741853187'],1586757356741853187,
9,"Not sure what’s more embarrassing, losing to Russell Wilson or losing to Nathaniel Hackett.",en,['1586757344423280641'],1586757344423280641,
10,"After that win, Russell Wilson is gonna be even more unbearable.

Can you imagine what the plane ride back to America will be like??",en,['1586757340149096448'],1586757340149096448,145fe272791c7bc4
11,RUSSELL WILSON GETS THE FIRST DOWN TO ICE THE GAME!!!!!!!!! BRONCOS BEAT THE JAGS IN LONDON 21-17!!!!!!!!!!!!!!! Will this be the game to turn this team around?,en,['1586757333958496256'],1586757333958496256,
